id_voto,id_proyecto,proyecto,dependencia,comuna_id,comuna,perfil_territorial,canal,dispositivo,latencia_ms,estado,timestamp_voto
V-0000749,PP-633,Aulas digitales,Educacion,8,Villa Hermosa,ladera_oriente,punto_fisico,terminal,1577,VALIDO,2026-04-15T11:31:21
V-0002518,PP-101,Bibliotecas barriales,Cultura,13,San Javier,ladera_occidente,movil,android,166,VALIDO,2026-04-15T12:24:04
V-0006455,PP-422,Escuelas deportivas,INDER,6,Doce de Octubre,ladera_noroccidente,kiosko,terminal,1896,VALIDO,2026-04-15T15:40:58
V-0004858,PP-101,Bibliotecas barriales,Cultura,60,San Cristobal,rural,punto_fisico,terminal,1178,VALIDO,2026-04-15T14:45:38
V-0005860,PP-205,Huertas urbanas,Medio Ambiente,4,Aranjuez,valle,punto_fisico,terminal,905,VALIDO,2026-04-15T16:25:02
V-0007092,PP-101,Bibliotecas barriales,Cultura,6,Doce de Octubre,ladera_noroccidente,web,desktop,229,VALIDO,2026-04-15T14:34:37
V-0001727,PP-422,Escuelas deportivas,INDER,6,Doce de Octubre,ladera_noroccidente,movil,ios,90,VALIDO,2026-04-15T12:27:03
V-0000504,PP-101,Bibliotecas barriales,Cultura,8,Villa Hermosa,ladera_oriente,punto_fisico,terminal,1212,VALIDO,2026-04-15T09:17:11
V-0006826,PP-101,Bibliotecas barriales,Cultura,12,La America,centro_sur,web,tablet,280,VALIDO,2026-04-15T10:08:48
V-0000602,PP-517,Cuidado adulto mayor,Inclusion Social,7,Robledo,ladera_noroccidente,punto_fisico,terminal,1269,VALIDO,2026-04-15T16:42:04
V-0005369,PP-517,Cuidado adulto mayor,Inclusion Social,50,San Sebastian de Palmitas,rural,movil,android,224,VALIDO,2026-04-15T09:26:34
V-0002847,PP-101,Bibliotecas barriales,Cultura,10,La Candelaria,centro,web,desktop,535,VALIDO,2026-04-15T09:17:23
V-0007299,PP-318,Ciclorutas seguras,Movilidad,3,Manrique,ladera_norte,punto_fisico,terminal,1700,VALIDO,2026-04-15T14:47:14
V-0005455,PP-205,Huertas urbanas,Medio Ambiente,2,Santa Cruz,ladera_norte,punto_fisico,terminal,2357,VALIDO,2026-04-15T09:20:33
V-0000466,PP-422,Escuelas deportivas,INDER,16,Belen,sur,movil,ios,513,VALIDO,2026-04-15T15:41:03
V-0002447,PP-205,Huertas urbanas,Medio Ambiente,50,San Sebastian de Palmitas,rural,movil,android,285,VALIDO,2026-04-15T11:21:54
V-0005145,PP-633,Aulas digitales,Educacion,8,Villa Hermosa,ladera_oriente,web,desktop,354,VALIDO,2026-04-15T12:16:53
V-0003722,PP-422,Escuelas deportivas,INDER,16,Belen,sur,web,desktop,234,VALIDO,2026-04-15T14:47:08
V-0002032,PP-205,Huertas urbanas,Medio Ambiente,4,Aranjuez,valle,web,tablet,399,VALIDO,2026-04-15T10:16:15
V-0002827,PP-318,Ciclorutas seguras,Movilidad,14,El Poblado,sur,web,tablet,110,VALIDO,2026-04-15T13:16:36
V-0002019,PP-704,Mejoramiento de parques,Infraestructura,8,Villa Hermosa,ladera_oriente,movil,android,651,VALIDO,2026-04-15T13:38:19
V-0000787,PP-101,Bibliotecas barriales,Cultura,7,Robledo,ladera_noroccidente,movil,android,717,VALIDO,2026-04-15T12:37:28
V-0001104,PP-517,Cuidado adulto mayor,Inclusion Social,6,Doce de Octubre,ladera_noroccidente,kiosko,terminal,1855,VALIDO,2026-04-15T13:05:06
V-0004236,PP-101,Bibliotecas barriales,Cultura,2,Santa Cruz,ladera_norte,kiosko,terminal,1651,VALIDO,2026-04-15T12:54:19
V-0003662,PP-318,Ciclorutas seguras,Movilidad,15,Guayabal,sur,web,desktop,415,VALIDO,2026-04-15T09:28:04
V-0005627,PP-633,Aulas digitales,Educacion,11,Laureles-Estadio,centro_sur,movil,android,168,VALIDO,2026-04-15T13:41:09
V-0003481,PP-205,Huertas urbanas,Medio Ambiente,2,Santa Cruz,ladera_norte,movil,android,408,VALIDO,2026-04-15T13:46:53
V-0002115,PP-205,Huertas urbanas,Medio Ambiente,3,Manrique,ladera_norte,web,tablet,328,VALIDO,2026-04-15T11:47:59
V-0007117,PP-318,Ciclorutas seguras,Movilidad,3,Manrique,ladera_norte,web,desktop,647,REVISION,2026-04-15T16:29:48
V-0001784,PP-318,Ciclorutas seguras,Movilidad,8,Villa Hermosa,ladera_oriente,kiosko,terminal,1867,VALIDO,2026-04-15T13:16:16
V-0006548,PP-101,Bibliotecas barriales,Cultura,9,Buenos Aires,ladera_oriente,punto_fisico,terminal,1103,VALIDO,2026-04-15T11:36:58
V-0002935,PP-205,Huertas urbanas,Medio Ambiente,70,Altavista,rural,movil,ios,417,VALIDO,2026-04-15T14:16:41
V-0003081,PP-101,Bibliotecas barriales,Cultura,10,La Candelaria,centro,web,desktop,604,VALIDO,2026-04-15T15:28:22
V-0007381,PP-205,Huertas urbanas,Medio Ambiente,1,Popular,ladera_norte,punto_fisico,terminal,1603,VALIDO,2026-04-15T09:30:10
V-0000170,PP-101,Bibliotecas barriales,Cultura,9,Buenos Aires,ladera_oriente,movil,android,208,VALIDO,2026-04-15T10:54:49
V-0002821,PP-318,Ciclorutas seguras,Movilidad,90,Santa Elena,rural,movil,android,456,VALIDO,2026-04-15T15:29:34
V-0002997,PP-205,Huertas urbanas,Medio Ambiente,14,El Poblado,sur,web,desktop,558,VALIDO,2026-04-15T10:01:51
V-0004072,PP-318,Ciclorutas seguras,Movilidad,1,Popular,ladera_norte,kiosko,terminal,1881,VALIDO,2026-04-15T12:30:44
V-0006908,PP-101,Bibliotecas barriales,Cultura,2,Santa Cruz,ladera_norte,movil,android,354,VALIDO,2026-04-15T13:55:50
V-0007398,PP-205,Huertas urbanas,Medio Ambiente,3,Manrique,ladera_norte,kiosko,terminal,1701,VALIDO,2026-04-15T09:30:56
V-0001264,PP-517,Cuidado adulto mayor,Inclusion Social,2,Santa Cruz,ladera_norte,movil,ios,490,VALIDO,2026-04-15T11:08:16
V-0004047,PP-318,Ciclorutas seguras,Movilidad,4,Aranjuez,valle,web,desktop,151,VALIDO,2026-04-15T15:11:59
V-0004710,PP-318,Ciclorutas seguras,Movilidad,6,Doce de Octubre,ladera_noroccidente,web,desktop,567,VALIDO,2026-04-15T13:31:09
V-0000319,PP-318,Ciclorutas seguras,Movilidad,5,Castilla,valle,movil,android,600,VALIDO,2026-04-15T15:17:46
V-0002108,PP-205,Huertas urbanas,Medio Ambiente,10,La Candelaria,centro,movil,android,114,VALIDO,2026-04-15T15:11:18
V-0001871,PP-633,Aulas digitales,Educacion,8,Villa Hermosa,ladera_oriente,punto_fisico,terminal,1314,VALIDO,2026-04-15T15:07:04
V-0004395,PP-517,Cuidado adulto mayor,Inclusion Social,6,Doce de Octubre,ladera_noroccidente,punto_fisico,terminal,1319,VALIDO,2026-04-15T11:21:17
V-0007334,PP-205,Huertas urbanas,Medio Ambiente,2,Santa Cruz,ladera_norte,kiosko,terminal,1663,REVISION,2026-04-15T09:00:23
V-0002729,PP-318,Ciclorutas seguras,Movilidad,60,San Cristobal,rural,movil,android,188,VALIDO,2026-04-15T14:26:00
V-0004880,PP-633,Aulas digitales,Educacion,9,Buenos Aires,ladera_oriente,movil,android,756,VALIDO,2026-04-15T10:34:28
V-0002096,PP-633,Aulas digitales,Educacion,1,Popular,ladera_norte,punto_fisico,terminal,1355,VALIDO,2026-04-15T11:22:18
V-0001887,PP-101,Bibliotecas barriales,Cultura,8,Villa Hermosa,ladera_oriente,web,desktop,316,VALIDO,2026-04-15T15:20:25
V-0004164,PP-517,Cuidado adulto mayor,Inclusion Social,9,Buenos Aires,ladera_oriente,kiosko,terminal,1791,VALIDO,2026-04-15T11:33:49
V-0001596,PP-633,Aulas digitales,Educacion,16,Belen,sur,web,tablet,549,VALIDO,2026-04-15T09:38:12
V-0001010,PP-101,Bibliotecas barriales,Cultura,1,Popular,ladera_norte,movil,ios,283,VALIDO,2026-04-15T14:29:57
V-0003788,PP-704,Mejoramiento de parques,Infraestructura,60,San Cristobal,rural,punto_fisico,terminal,2708,VALIDO,2026-04-15T15:40:13
V-0004686,PP-633,Aulas digitales,Educacion,12,La America,centro_sur,punto_fisico,terminal,1162,VALIDO,2026-04-15T11:56:47
V-0000626,PP-318,Ciclorutas seguras,Movilidad,5,Castilla,valle,movil,android,651,VALIDO,2026-04-15T09:17:43
V-0003040,PP-318,Ciclorutas seguras,Movilidad,6,Doce de Octubre,ladera_noroccidente,movil,android,233,VALIDO,2026-04-15T14:54:04
V-0003980,PP-101,Bibliotecas barriales,Cultura,8,Villa Hermosa,ladera_oriente,kiosko,terminal,1773,VALIDO,2026-04-15T12:59:04
V-0001085,PP-318,Ciclorutas seguras,Movilidad,7,Robledo,ladera_noroccidente,punto_fisico,terminal,1387,VALIDO,2026-04-15T15:59:17
V-0000983,PP-318,Ciclorutas seguras,Movilidad,16,Belen,sur,kiosko,terminal,1636,INVALIDO,2026-04-15T12:01:40
V-0000066,PP-422,Escuelas deportivas,INDER,12,La America,centro_sur,movil,android,690,VALIDO,2026-04-15T09:00:48
V-0002167,PP-205,Huertas urbanas,Medio Ambiente,9,Buenos Aires,ladera_oriente,punto_fisico,terminal,1321,VALIDO,2026-04-15T14:27:56
V-0007248,PP-318,Ciclorutas seguras,Movilidad,12,La America,centro_sur,web,desktop,505,VALIDO,2026-04-15T16:21:43
V-0000774,PP-205,Huertas urbanas,Medio Ambiente,9,Buenos Aires,ladera_oriente,punto_fisico,terminal,1182,VALIDO,2026-04-15T11:20:24
V-0007347,PP-704,Mejoramiento de parques,Infraestructura,3,Manrique,ladera_norte,punto_fisico,terminal,1227,VALIDO,2026-04-15T10:22:27
V-0006977,PP-101,Bibliotecas barriales,Cultura,80,San Antonio de Prado,rural,punto_fisico,terminal,979,VALIDO,2026-04-15T11:01:53
V-0003261,PP-101,Bibliotecas barriales,Cultura,15,Guayabal,sur,punto_fisico,terminal,1272,VALIDO,2026-04-15T14:10:02
V-0007265,PP-101,Bibliotecas barriales,Cultura,4,Aranjuez,valle,punto_fisico,terminal,1487,VALIDO,2026-04-15T15:56:29
V-0001670,PP-205,Huertas urbanas,Medio Ambiente,14,El Poblado,sur,web,desktop,90,VALIDO,2026-04-15T13:26:35
V-0001841,PP-318,Ciclorutas seguras,Movilidad,7,Robledo,ladera_noroccidente,punto_fisico,terminal,1453,VALIDO,2026-04-15T14:54:57
V-0000062,PP-205,Huertas urbanas,Medio Ambiente,3,Manrique,ladera_norte,web,desktop,533,VALIDO,2026-04-15T15:20:44
V-0003438,PP-704,Mejoramiento de parques,Infraestructura,2,Santa Cruz,ladera_norte,web,desktop,611,VALIDO,2026-04-15T11:07:32
V-0005472,PP-422,Escuelas deportivas,INDER,11,Laureles-Estadio,centro_sur,web,desktop,553,VALIDO,2026-04-15T14:37:51
V-0005060,PP-633,Aulas digitales,Educacion,80,San Antonio de Prado,rural,web,desktop,90,VALIDO,2026-04-15T11:26:46
V-0003571,PP-633,Aulas digitales,Educacion,7,Robledo,ladera_noroccidente,kiosko,terminal,1405,VALIDO,2026-04-15T10:31:11
V-0001143,PP-318,Ciclorutas seguras,Movilidad,5,Castilla,valle,web,desktop,306,VALIDO,2026-04-15T11:51:40
V-0002459,PP-101,Bibliotecas barriales,Cultura,90,Santa Elena,rural,movil,ios,473,VALIDO,2026-04-15T16:10:51
V-0006704,PP-318,Ciclorutas seguras,Movilidad,6,Doce de Octubre,ladera_noroccidente,web,desktop,293,VALIDO,2026-04-15T13:10:44
V-0000555,PP-101,Bibliotecas barriales,Cultura,14,El Poblado,sur,movil,android,399,VALIDO,2026-04-15T11:59:30
V-0000734,PP-633,Aulas digitales,Educacion,8,Villa Hermosa,ladera_oriente,web,desktop,151,VALIDO,2026-04-15T10:29:32
V-0001129,PP-422,Escuelas deportivas,INDER,16,Belen,sur,web,desktop,661,VALIDO,2026-04-15T09:56:39
V-0005699,PP-101,Bibliotecas barriales,Cultura,6,Doce de Octubre,ladera_noroccidente,movil,android,721,VALIDO,2026-04-15T12:13:09
V-0001056,PP-205,Huertas urbanas,Medio Ambiente,2,Santa Cruz,ladera_norte,kiosko,terminal,1718,VALIDO,2026-04-15T11:14:34
V-0001316,PP-318,Ciclorutas seguras,Movilidad,11,Laureles-Estadio,centro_sur,movil,android,654,VALIDO,2026-04-15T12:37:09
V-0005857,PP-633,Aulas digitales,Educacion,6,Doce de Octubre,ladera_noroccidente,kiosko,terminal,2172,VALIDO,2026-04-15T14:35:42
V-0004661,PP-633,Aulas digitales,Educacion,10,La Candelaria,centro,movil,android,468,VALIDO,2026-04-15T12:24:27
V-0000333,PP-101,Bibliotecas barriales,Cultura,4,Aranjuez,valle,movil,android,329,VALIDO,2026-04-15T11:49:47
V-0004268,PP-704,Mejoramiento de parques,Infraestructura,3,Manrique,ladera_norte,punto_fisico,terminal,1588,REVISION,2026-04-15T16:47:58
V-0000995,PP-422,Escuelas deportivas,INDER,16,Belen,sur,punto_fisico,terminal,1199,INVALIDO,2026-04-15T14:36:51
V-0002474,PP-422,Escuelas deportivas,INDER,2,Santa Cruz,ladera_norte,web,desktop,292,VALIDO,2026-04-15T10:12:05
V-0005408,PP-517,Cuidado adulto mayor,Inclusion Social,13,San Javier,ladera_occidente,punto_fisico,terminal,1344,VALIDO,2026-04-15T09:09:12
V-0007197,PP-704,Mejoramiento de parques,Infraestructura,1,Popular,ladera_norte,punto_fisico,terminal,1336,VALIDO,2026-04-15T14:55:02
V-0004240,PP-633,Aulas digitales,Educacion,11,Laureles-Estadio,centro_sur,web,desktop,547,VALIDO,2026-04-15T10:10:39
V-0007308,PP-101,Bibliotecas barriales,Cultura,12,La America,centro_sur,movil,android,540,VALIDO,2026-04-15T13:12:55
V-0005260,PP-318,Ciclorutas seguras,Movilidad,4,Aranjuez,valle,web,desktop,275,VALIDO,2026-04-15T10:50:52
V-0002909,PP-101,Bibliotecas barriales,Cultura,1,Popular,ladera_norte,movil,android,374,VALIDO,2026-04-15T14:27:34
V-0000252,PP-422,Escuelas deportivas,INDER,16,Belen,sur,web,desktop,128,VALIDO,2026-04-15T11:00:24
V-0006072,PP-422,Escuelas deportivas,INDER,1,Popular,ladera_norte,punto_fisico,terminal,1411,VALIDO,2026-04-15T12:52:29
V-0003264,PP-422,Escuelas deportivas,INDER,14,El Poblado,sur,web,desktop,546,VALIDO,2026-04-15T09:56:44
V-0001026,PP-517,Cuidado adulto mayor,Inclusion Social,5,Castilla,valle,movil,android,474,VALIDO,2026-04-15T14:57:48
V-0004631,PP-517,Cuidado adulto mayor,Inclusion Social,6,Doce de Octubre,ladera_noroccidente,punto_fisico,terminal,1092,VALIDO,2026-04-15T14:40:25
V-0007132,PP-101,Bibliotecas barriales,Cultura,10,La Candelaria,centro,movil,android,463,VALIDO,2026-04-15T11:20:20
V-0001254,PP-318,Ciclorutas seguras,Movilidad,5,Castilla,valle,web,desktop,381,VALIDO,2026-04-15T11:22:38
V-0000836,PP-318,Ciclorutas seguras,Movilidad,80,San Antonio de Prado,rural,kiosko,terminal,4489,VALIDO,2026-04-15T14:16:19
V-0001892,PP-633,Aulas digitales,Educacion,5,Castilla,valle,movil,android,569,VALIDO,2026-04-15T11:55:22
V-0002893,PP-633,Aulas digitales,Educacion,11,Laureles-Estadio,centro_sur,web,tablet,381,VALIDO,2026-04-15T12:03:24
V-0002882,PP-318,Ciclorutas seguras,Movilidad,7,Robledo,ladera_noroccidente,web,desktop,499,VALIDO,2026-04-15T11:54:31
V-0002150,PP-517,Cuidado adulto mayor,Inclusion Social,11,Laureles-Estadio,centro_sur,movil,android,282,VALIDO,2026-04-15T16:01:24
V-0003886,PP-101,Bibliotecas barriales,Cultura,15,Guayabal,sur,web,desktop,519,VALIDO,2026-04-15T14:46:04
V-0002551,PP-633,Aulas digitales,Educacion,2,Santa Cruz,ladera_norte,kiosko,terminal,1601,VALIDO,2026-04-15T11:47:54
V-0006176,PP-517,Cuidado adulto mayor,Inclusion Social,12,La America,centro_sur,movil,android,455,VALIDO,2026-04-15T13:07:06
V-0002158,PP-704,Mejoramiento de parques,Infraestructura,13,San Javier,ladera_occidente,kiosko,terminal,1652,VALIDO,2026-04-15T11:41:44
V-0002790,PP-318,Ciclorutas seguras,Movilidad,4,Aranjuez,valle,web,desktop,105,VALIDO,2026-04-15T11:42:32
V-0006913,PP-101,Bibliotecas barriales,Cultura,15,Guayabal,sur,movil,android,311,VALIDO,2026-04-15T14:18:07
V-0004341,PP-704,Mejoramiento de parques,Infraestructura,1,Popular,ladera_norte,kiosko,terminal,1524,VALIDO,2026-04-15T11:26:41
V-0003825,PP-517,Cuidado adulto mayor,Inclusion Social,9,Buenos Aires,ladera_oriente,punto_fisico,terminal,1249,VALIDO,2026-04-15T11:51:35
V-0006505,PP-633,Aulas digitales,Educacion,3,Manrique,ladera_norte,web,desktop,290,VALIDO,2026-04-15T14:13:58
V-0000857,PP-318,Ciclorutas seguras,Movilidad,10,La Candelaria,centro,web,desktop,451,VALIDO,2026-04-15T10:32:47
V-0000997,PP-422,Escuelas deportivas,INDER,3,Manrique,ladera_norte,movil,android,436,VALIDO,2026-04-15T15:55:23
V-0005484,PP-633,Aulas digitales,Educacion,9,Buenos Aires,ladera_oriente,movil,android,669,VALIDO,2026-04-15T11:25:07
V-0000038,PP-318,Ciclorutas seguras,Movilidad,4,Aranjuez,valle,movil,ios,834,VALIDO,2026-04-15T15:27:07
V-0006626,PP-633,Aulas digitales,Educacion,60,San Cristobal,rural,movil,ios,304,VALIDO,2026-04-15T15:13:56
V-0007232,PP-517,Cuidado adulto mayor,Inclusion Social,8,Villa Hermosa,ladera_oriente,punto_fisico,terminal,3894,VALIDO,2026-04-15T09:55:54
V-0006506,PP-205,Huertas urbanas,Medio Ambiente,9,Buenos Aires,ladera_oriente,punto_fisico,terminal,1462,REVISION,2026-04-15T10:37:01
V-0004986,PP-422,Escuelas deportivas,INDER,4,Aranjuez,valle,punto_fisico,terminal,959,VALIDO,2026-04-15T13:41:47
V-0000712,PP-517,Cuidado adulto mayor,Inclusion Social,3,Manrique,ladera_norte,punto_fisico,terminal,1440,REVISION,2026-04-15T16:42:47
V-0000473,PP-101,Bibliotecas barriales,Cultura,1,Popular,ladera_norte,movil,android,385,VALIDO,2026-04-15T16:00:21
V-0000096,PP-517,Cuidado adulto mayor,Inclusion Social,13,San Javier,ladera_occidente,kiosko,terminal,4086,VALIDO,2026-04-15T11:38:38
V-0004373,PP-318,Ciclorutas seguras,Movilidad,6,Doce de Octubre,ladera_noroccidente,movil,android,479,VALIDO,2026-04-15T13:11:37
V-0001703,PP-101,Bibliotecas barriales,Cultura,6,Doce de Octubre,ladera_noroccidente,movil,android,396,VALIDO,2026-04-15T12:23:45
V-0002754,PP-318,Ciclorutas seguras,Movilidad,8,Villa Hermosa,ladera_oriente,punto_fisico,terminal,1215,VALIDO,2026-04-15T15:50:34
V-0004270,PP-633,Aulas digitales,Educacion,13,San Javier,ladera_occidente,punto_fisico,terminal,1143,VALIDO,2026-04-15T16:19:34
V-0005240,PP-517,Cuidado adulto mayor,Inclusion Social,11,Laureles-Estadio,centro_sur,movil,android,436,VALIDO,2026-04-15T09:48:26
V-0001812,PP-633,Aulas digitales,Educacion,12,La America,centro_sur,movil,android,258,VALIDO,2026-04-15T15:20:38
V-0000684,PP-205,Huertas urbanas,Medio Ambiente,8,Villa Hermosa,ladera_oriente,web,tablet,257,VALIDO,2026-04-15T10:38:59
V-0005362,PP-517,Cuidado adulto mayor,Inclusion Social,4,Aranjuez,valle,web,desktop,425,VALIDO,2026-04-15T12:53:17
V-0002111,PP-517,Cuidado adulto mayor,Inclusion Social,3,Manrique,ladera_norte,web,tablet,3342,VALIDO,2026-04-15T13:15:39
V-0001583,PP-101,Bibliotecas barriales,Cultura,8,Villa Hermosa,ladera_oriente,web,tablet,593,VALIDO,2026-04-15T09:06:10
V-0005912,PP-205,Huertas urbanas,Medio Ambiente,16,Belen,sur,web,desktop,208,VALIDO,2026-04-15T14:11:35
V-0004740,PP-633,Aulas digitales,Educacion,9,Buenos Aires,ladera_oriente,movil,android,308,VALIDO,2026-04-15T16:24:29
V-0001785,PP-633,Aulas digitales,Educacion,6,Doce de Octubre,ladera_noroccidente,web,desktop,386,VALIDO,2026-04-15T11:35:48
V-0002914,PP-422,Escuelas deportivas,INDER,11,Laureles-Estadio,centro_sur,web,desktop,183,VALIDO,2026-04-15T15:30:30
V-0002837,PP-704,Mejoramiento de parques,Infraestructura,6,Doce de Octubre,ladera_noroccidente,movil,android,377,VALIDO,2026-04-15T11:04:18
V-0006010,PP-633,Aulas digitales,Educacion,1,Popular,ladera_norte,web,desktop,193,VALIDO,2026-04-15T09:52:54
V-0006711,PP-517,Cuidado adulto mayor,Inclusion Social,14,El Poblado,sur,web,desktop,400,INVALIDO,2026-04-15T16:27:59
V-0007315,PP-101,Bibliotecas barriales,Cultura,5,Castilla,valle,movil,android,634,VALIDO,2026-04-15T16:13:42
V-0000545,PP-101,Bibliotecas barriales,Cultura,12,La America,centro_sur,movil,android,216,VALIDO,2026-04-15T16:46:20
V-0007439,PP-422,Escuelas deportivas,INDER,14,El Poblado,sur,movil,ios,330,VALIDO,2026-04-15T12:43:56
V-0002349,PP-633,Aulas digitales,Educacion,8,Villa Hermosa,ladera_oriente,punto_fisico,terminal,1127,VALIDO,2026-04-15T13:57:36
V-0002618,PP-101,Bibliotecas barriales,Cultura,9,Buenos Aires,ladera_oriente,punto_fisico,terminal,1243,VALIDO,2026-04-15T09:47:33
V-0007005,PP-517,Cuidado adulto mayor,Inclusion Social,6,Doce de Octubre,ladera_noroccidente,punto_fisico,terminal,1072,VALIDO,2026-04-15T09:15:34
V-0004129,PP-101,Bibliotecas barriales,Cultura,10,La Candelaria,centro,movil,android,641,VALIDO,2026-04-15T14:18:08
V-0002800,PP-633,Aulas digitales,Educacion,6,Doce de Octubre,ladera_noroccidente,punto_fisico,terminal,1249,VALIDO,2026-04-15T09:58:10
V-0003482,PP-633,Aulas digitales,Educacion,12,La America,centro_sur,web,desktop,384,VALIDO,2026-04-15T09:11:11
V-0007129,PP-318,Ciclorutas seguras,Movilidad,16,Belen,sur,web,tablet,402,VALIDO,2026-04-15T16:08:50
V-0005452,PP-101,Bibliotecas barriales,Cultura,10,La Candelaria,centro,web,desktop,566,VALIDO,2026-04-15T14:01:18
V-0001808,PP-101,Bibliotecas barriales,Cultura,7,Robledo,ladera_noroccidente,punto_fisico,terminal,1492,VALIDO,2026-04-15T13:35:32
V-0006342,PP-517,Cuidado adulto mayor,Inclusion Social,11,Laureles-Estadio,centro_sur,punto_fisico,terminal,1127,VALIDO,2026-04-15T09:24:24
V-0003149,PP-633,Aulas digitales,Educacion,11,Laureles-Estadio,centro_sur,web,desktop,2616,VALIDO,2026-04-15T16:36:56
V-0004853,PP-101,Bibliotecas barriales,Cultura,2,Santa Cruz,ladera_norte,movil,android,404,VALIDO,2026-04-15T11:56:58
V-0001707,PP-101,Bibliotecas barriales,Cultura,10,La Candelaria,centro,web,desktop,216,INVALIDO,2026-04-15T14:03:14
V-0005404,PP-704,Mejoramiento de parques,Infraestructura,15,Guayabal,sur,web,desktop,379,VALIDO,2026-04-15T09:33:06
V-0002926,PP-422,Escuelas deportivas,INDER,8,Villa Hermosa,ladera_oriente,kiosko,terminal,1876,VALIDO,2026-04-15T13:53:27
V-0000264,PP-517,Cuidado adulto mayor,Inclusion Social,14,El Poblado,sur,web,tablet,90,VALIDO,2026-04-15T10:05:55
V-0005614,PP-101,Bibliotecas barriales,Cultura,7,Robledo,ladera_noroccidente,punto_fisico,terminal,1170,VALIDO,2026-04-15T10:51:22
V-0003876,PP-704,Mejoramiento de parques,Infraestructura,7,Robledo,ladera_noroccidente,kiosko,terminal,1324,VALIDO,2026-04-15T10:55:26
